epoch,step,min,max,mean,std
1,10000,3.352279236423783e-06,0.01966865547001362,0.009836004115641117,0.009832651354372501
2,20000,6.135788908068207e-07,0.002682054415345192,0.00134133396204561,0.001340720453299582
3,30000,-0.04710410162806511,2.8347637126557856e-08,-0.02355203591287136,0.0235520638525486
4,40000,-0.007124263793230057,7.403733182087535e-09,-0.00356212817132473,0.003562135621905327
5,50000,-0.03124626912176609,4.615156781045959e-12,-0.015623134560883045,0.015623134560883045
6,60000,2.2210141711886955e-11,0.009614890441298485,0.004807445220649242,0.004807445220649242
7,70000,3.8780543221150765e-09,0.022446218878030777,0.011223111301660538,0.01122310757637024
8,80000,-0.05324355885386467,5.788486845403895e-08,-0.026621749624609947,0.026621807366609573
9,90000,1.1503898944553725e-09,0.008780606091022491,0.004390303511172533,0.004390302579849958
10,100000,-0.007450423203408718,4.1756237578738364e-08,-0.00372519064694643,0.0037252323236316442
11,110000,-0.009387467056512833,1.2934724472057901e-11,-0.004693733528256416,0.004693733528256416
12,120000,-0.00030019599944353104,1.1424219792388612e-08,-0.00015009228081908077,0.00015010371862445027
13,130000,4.4057867398805683e-07,0.015213830396533012,0.007607135456055403,0.00760669494047761
14,140000,2.1126844848215476e-13,0.00405198335647583,0.002025991678237915,0.002025991678237915
15,150000,-0.020528439432382584,2.092398303232823e-12,-0.010264219716191292,0.010264219716191292
16,160000,1.6427334492696843e-10,0.012127624824643135,0.0060638124123215675,0.0060638124123215675
17,170000,-0.009334510192275047,2.188900394273219e-09,-0.004667254164814949,0.004667256493121386
18,180000,1.163928686764848e-08,0.016118062660098076,0.008059036917984486,0.00805902574211359
19,190000,3.940604082191407e-13,0.042255699634552,0.021127849817276,0.021127849817276
20,200000,-0.02576613239943981,3.8357347853512636e-10,-0.012883066199719906,0.012883066199719906
21,210000,-0.002706289291381836,3.458228903241434e-08,-0.0013531272998079658,0.0013531619915738702
22,220000,4.353812528279377e-07,0.06425446271896362,0.03212744742631912,0.0321270152926445
23,230000,9.290765490277408e-09,0.02809808775782585,0.014049048535525799,0.014049039222300053
24,240000,-0.02746821567416191,2.217164819795503e-11,-0.013734107837080956,0.013734107837080956
25,250000,-0.012404119595885277,3.253506145051155e-11,-0.006202059797942638,0.006202059797942638
26,260000,1.35095767905824e-09,0.028117286041378975,0.014058643952012062,0.014058642089366913
27,270000,-0.018130559474229813,2.228913303925495e-10,-0.009065279737114906,0.009065279737114906
28,280000,6.500668892073236e-09,0.003696933388710022,0.0018484699539840221,0.0018484634347259998
29,290000,9.660889190854505e-07,0.005124704912304878,0.002562835579738021,0.0025618693325668573
30,300000,-0.0010424880310893059,3.71341024596461e-09,-0.0005212421528995037,0.0005212458781898022
31,310000,-0.0034917397424578667,2.0168923822727614e-11,-0.0017458698712289333,0.0017458698712289333
