epoch,step,min,max,mean,std
1,10000,-0.0010879217879846692,0.0009890184737741947,5.809761205455288e-05,0.00021509746147785336
2,20000,-0.0007796784630045295,0.0006030874792486429,1.3628960914502386e-05,9.489697549724951e-05
3,30000,-0.00214609713293612,0.0007804997731000185,-7.838384772185236e-05,0.00031992874573916197
4,40000,-0.000330362468957901,0.00010618336091283709,-1.129842348746024e-05,4.8430170863866806e-05
5,50000,-0.0015105089405551553,0.0002322591026313603,-4.0345348679693416e-05,0.00018781254766508937
6,60000,-0.00023630057694390416,0.0004657521203625947,8.345191417902242e-06,5.733502985094674e-05
7,70000,-0.001383567345328629,0.0011759359622374177,1.3912952454120386e-05,0.00015269318828359246
8,80000,-0.002802386414259672,0.0013052017893642187,-3.9206490328069776e-05,0.0002878718078136444
9,90000,-0.0019053345313295722,0.0007893393049016595,4.545575848169392e-06,0.00014561862917616963
10,100000,-0.0004750375810544938,0.00039858141099102795,-3.9349552025669254e-06,5.624923505820334e-05
11,110000,-0.0007730287034064531,5.336555204848992e-06,-1.7889437003759667e-05,9.449577191844583e-05
12,120000,-8.108021575026214e-05,0.0010465166997164488,1.3634649803861976e-05,0.00010246768943034112
13,130000,-0.0007747687632218003,0.000736432964913547,-2.7625269467534963e-06,9.818201942835003e-05
14,140000,-0.00039605979691259563,0.0006782464915886521,8.62032720760908e-08,5.9913592849625275e-05
15,150000,-0.0009332356858067214,0.0,-1.3906238564231899e-05,9.906597551889718e-05
16,160000,-0.0010786859784275293,0.0025224376004189253,7.123415798560018e-06,0.00018821442790795118
17,170000,-0.000727064092643559,4.368883674032986e-05,-1.160565261670854e-05,7.286553591256961e-05
18,180000,-0.000772730796597898,0.0010601013200357556,2.2806456399848685e-05,0.00015299774531740695
19,190000,-0.0005405974225141108,0.0020299721509218216,2.595816295070108e-05,0.00021737506904173642
20,200000,-0.0021999499294906855,0.001570609281770885,-2.595646947156638e-05,0.00024510451476089656
21,210000,-0.0006206351099535823,0.0021386826410889626,3.11623034576769e-06,0.00014156180259305984
22,220000,-0.0017580111743882298,0.0029664558824151754,3.6907000321662053e-05,0.0003374064981471747
23,230000,-0.0005071817431598902,0.0012548911618068814,6.3266547840612475e-06,0.00011629924847511575
24,240000,-0.0012196963652968407,0.0016883969074115157,2.2627652924711583e-06,0.00019552306912373751
25,250000,-0.0009526219801045954,0.001711255987174809,-4.627016551239649e-06,0.00014177463890518993
26,260000,0.0,0.001179406768642366,1.9089777197223157e-05,0.00013408878294285387
27,270000,-0.0035968865267932415,0.0034590912982821465,-6.109828973421827e-06,0.00039588555227965117
28,280000,0.0,0.001262203324586153,9.235496690962464e-06,8.731490379432216e-05
29,290000,-1.5389841792057268e-06,0.003466806374490261,5.514619988389313e-05,0.00033610436366871
30,300000,-0.0014913124032318592,0.00023117935052141547,-1.0703403859224636e-05,0.00010301327711204067
31,310000,-0.0007050665444694459,0.0038660147693008184,8.09501489129616e-06,0.0002489757025614381
