epoch,step,min,max,mean,std
1,10000,-0.0012106180656701326,0.0013297791592776775,1.388604323437903e-05,8.791816071607172e-05
2,20000,-0.0018030949868261814,0.0015024811727926135,-6.391942406480666e-07,8.940652332967147e-05
3,30000,-0.0026143959257751703,0.0010844971984624863,-9.309574124927167e-06,8.36814651847817e-05
4,40000,-0.0006433099042624235,0.000425380771048367,-1.43743557146081e-06,2.5494535293546505e-05
5,50000,-0.002036069519817829,0.00044772890396416187,-6.032296823832439e-06,5.349103957996704e-05
6,60000,-0.0005788918933831155,0.0010628252057358623,8.501224328938406e-07,3.0286479159258306e-05
7,70000,-0.002242865739390254,0.0023882167879492044,2.9979951250425074e-06,5.58759129489772e-05
8,80000,-0.002687011379748583,0.0018127958755940199,-5.732899353461107e-06,7.011319394223392e-05
9,90000,-0.0024296424817293882,0.001071840524673462,9.489827448305732e-07,4.9957645387621596e-05
10,100000,-0.0015148770762607455,0.0014728412497788668,-5.908252660447033e-07,4.212327257846482e-05
11,110000,-0.0012940358137711883,0.0011546816676855087,-2.6833499759959523e-06,4.134904520469718e-05
12,120000,-0.0009885885519906878,0.0012072159443050623,1.2438545127224643e-06,3.7292476918082684e-05
13,130000,-0.0010856741573661566,0.0012931362725794315,-9.369425697514089e-07,3.638385169324465e-05
14,140000,-0.0007216910016722977,0.0009049734217114747,-2.081964396438707e-07,2.7618292733677663e-05
15,150000,-0.0012770623434334993,0.0004103022802155465,-1.6844464880705345e-06,2.7683403459377587e-05
16,160000,-0.0009726127609610558,0.0044642784632742405,1.6248127394646872e-06,6.821659189881757e-05
17,170000,-0.001194180571474135,0.0009932895191013813,-1.653216600061569e-06,3.219569771317765e-05
18,180000,-0.0010465336963534355,0.0013877309393137693,2.897569856941118e-06,4.76037421321962e-05
19,190000,-0.0007687395554967225,0.003313268069177866,2.728756726355641e-06,5.875717761227861e-05
20,200000,-0.001675790292210877,0.0015022412408143282,-2.351211833229172e-06,5.0667131290538236e-05
21,210000,-0.0010097641497850418,0.003920925315469503,1.5107259514479665e-06,6.311540346359834e-05
22,220000,-0.0021503849420696497,0.003733579535037279,4.461442586034536e-06,8.42343652038835e-05
23,230000,-0.00041452754521742463,0.0021744119003415108,7.182162562457961e-07,3.2593405194347724e-05
24,240000,-0.001444098073989153,0.0032114144414663315,8.152198915922781e-09,6.376943201757967e-05
25,250000,-0.001028045080602169,0.001846743281930685,-6.604107625207689e-07,3.875010952469893e-05
26,260000,-0.0005296524032019079,0.0017474864143878222,2.550985982452403e-06,4.0960228943731636e-05
27,270000,-0.0036898835096508265,0.00354852550663054,-1.3725863823310647e-07,8.37492334540002e-05
28,280000,-0.0006365453009493649,0.0012789905304089189,9.653483630245319e-07,2.5687259039841592e-05
29,290000,-0.0009750769240781665,0.002988627413287759,4.581180292007048e-06,6.51151203783229e-05
30,300000,-0.002311872784048319,0.001010874635539949,-1.1010340585926315e-06,3.0128543585306033e-05
31,310000,-0.0008255070424638689,0.004824460484087467,-3.350905899424106e-07,5.311666245688684e-05
