epoch,step,min,max,mean,std
1,10000,-0.0007346359197981656,0.0012112444965168834,8.752724534133449e-05,0.00032588388421572745
2,20000,-0.0006284661940298975,0.0005517909303307533,2.3784847144270316e-05,0.00017462018877267838
3,30000,-0.0016952265286818147,0.0019142462406307459,0.00010699313133955002,0.0004927099798806012
4,40000,-0.0008688777452334762,0.0008167282212525606,-3.735851714736782e-05,0.00027015435625799
5,50000,-0.0011954455403611064,0.001706802868284285,7.991578604560345e-05,0.0004590736934915185
6,60000,-0.0016738743288442492,0.0015423872973769903,1.588816121511627e-05,0.00048127674381248653
7,70000,-0.0018049560021609068,0.0014173006638884544,-2.318847691640258e-05,0.0004246023599989712
