epoch,step,min,max,mean,std
1,10000,-0.0007839843747206032,0.001410653698258102,0.00010289405327057466,0.00031304886215366423
2,20000,-0.0006301089888438582,0.0007969498401507735,1.153851280832896e-05,0.0001797286531655118
3,30000,-0.002655966207385063,0.003144635586068034,3.0733288440387696e-05,0.0005017934599891305
4,40000,-0.0011223070323467255,0.0015471206279471517,-2.0553681679302827e-05,0.00028162795933894813
5,50000,-0.0028219972737133503,0.002658605109900236,9.271323506254703e-06,0.0005210911040194333
6,60000,-0.0023116478696465492,0.0016184798441827297,1.1174670362379402e-05,0.00045987029443494976
7,70000,-0.0015736964996904135,0.00232797022908926,1.7298849343205802e-05,0.00042832805775105953
