epoch,step,min,max,mean,std
1,10000,-0.0009248199057765305,0.0011566331377252936,2.5659990569693036e-05,0.00010640564141795039
2,20000,-0.0008411416783928871,0.0013225531438365579,8.798500061857339e-07,7.722307782387361e-05
3,30000,-0.002910326002165675,0.002977581461891532,8.832812454784289e-06,0.0001831835397752002
4,40000,-0.0016639629611745477,0.002132832771167159,-9.161601610685466e-07,0.00011223597539355978
5,50000,-0.0037127684336155653,0.0037286006845533848,7.941010835565976e-07,0.0001534634066047147
6,60000,-0.003426105249673128,0.0018926631892099977,2.402243580945651e-06,0.00015899814025033265
7,70000,-0.002766318852081895,0.002425668528303504,4.132066351303365e-07,0.00015057793643791229
