epoch,step,min,max,mean,std
1,10000,-0.0012486391933634877,0.001778053934685886,6.8088156695012e-06,0.0001043275769916363
2,20000,-0.0010849176906049252,0.0011186286574229598,-1.985910103030619e-06,5.363959644455463e-05
3,30000,-0.0005683182971552014,0.001939419424161315,1.0440358892083168e-05,7.023367652436718e-05
4,40000,-0.00040488640661351383,0.0018821374978870153,1.0651810953277163e-05,7.427659875247627e-05
5,50000,-0.001904363394714892,0.00062070123385638,-1.3151457096682861e-06,4.156189243076369e-05
6,60000,-0.0009249860304407775,0.0006099415477365255,-6.558339578077721e-07,2.5140479920082726e-05
7,70000,-0.0014480436220765114,0.0007296428666450083,-1.7010361261782236e-06,4.304793037590571e-05
8,80000,-0.0021096779964864254,0.001475691213272512,1.2308930763538228e-06,4.632279524230398e-05
9,90000,-0.0006462702876888216,0.0008990332134999335,6.656352979916846e-07,2.881813452404458e-05
10,100000,-0.0021889477502554655,0.0012230355059728026,-4.462143351702252e-06,5.891301407245919e-05
11,110000,-0.00044653573422692716,0.0022801614832133055,5.293037702358561e-06,6.876626866869628e-05
12,120000,-0.0014798444462940097,0.0024884981103241444,-1.052592892847315e-07,5.6013410357991233e-05
13,130000,-0.001109335571527481,0.0014750448754057288,1.446122723791632e-07,3.568392276065424e-05
14,140000,-0.001603472512215376,0.00043841154547408223,-3.144109314234811e-06,4.3892490793950856e-05
15,150000,-0.0015772586921229959,0.002646425738930702,1.1963135193582275e-07,5.797417543362826e-05
16,160000,-0.002280608983710408,0.001131708500906825,-4.145853836234892e-06,5.343001612345688e-05
17,170000,-0.001510394155047834,0.0006173868896439672,-2.063000692942296e-06,3.7814752431586385e-05
18,180000,-0.0018887027399614453,0.0025608271826058626,1.0530734471103642e-06,6.617583858314902e-05
19,190000,-0.004122528247535229,0.0024676325265318155,3.729821287379309e-07,8.50536089274101e-05
20,200000,-0.0012899725697934628,0.001848543994128704,9.819314072956331e-07,5.331719512469135e-05
21,210000,-0.0011054748902097344,0.0007682726136408746,-1.983563606700045e-06,3.514492345857434e-05
22,220000,-0.001472654053941369,0.001864879741333425,4.387387662063702e-07,3.466745693003759e-05
23,230000,-0.0006335352663882077,0.0016838430892676115,1.360978785669431e-06,3.7526755477301776e-05
24,240000,-0.0010969939175993204,0.0011301077902317047,-3.251664679737587e-07,3.8516282074851915e-05
25,250000,-0.003427752060815692,0.002981020836159587,1.6454257547593443e-06,7.08557854522951e-05
26,260000,-0.004896807949990034,0.003230402711778879,3.115313802481978e-06,9.202317596646026e-05
27,270000,-0.002021907130256295,0.003730020485818386,2.4915395897551207e-06,7.583337719552219e-05
28,280000,-0.0056411088444292545,0.003985327202826738,2.902915866798139e-06,9.949261584552005e-05
29,290000,-0.0019473293796181679,0.0010256149107590318,-1.6908531961234985e-06,3.235206168028526e-05
30,300000,-0.003389605088159442,0.0024052713997662067,-3.3187319559147e-07,7.050203566905111e-05
31,310000,-0.005608999170362949,0.005179434083402157,-2.600871766844648e-07,0.00011886482388945296
