epoch,step,min,max,mean,std
1,10000,-0.008547201752662659,0.026631377637386322,0.0012926451163366437,0.004155944101512432
2,20000,-0.015349122695624828,0.007884552702307701,-0.00042764260433614254,0.002121093450114131
3,30000,-0.0008043430862016976,0.046598002314567566,0.0011040057288482785,0.005182717461138964
4,40000,-0.003744428977370262,0.09469142556190491,0.0018565580248832703,0.010764583945274353
5,50000,-0.006495587527751923,0.006979478523135185,4.605829599313438e-05,0.0007005009683780372
6,60000,-0.007760973181575537,0.0043549188412725925,-6.61747544654645e-05,0.0006816963432356715
7,70000,-0.05501806363463402,0.0035560079850256443,-0.00048508914187550545,0.004716327413916588
8,80000,-0.0012361167464405298,0.01648310385644436,0.0001764547050697729,0.0015007499605417252
9,90000,-0.00203372142277658,0.0045034801587462425,1.365265325148357e-05,0.0003303217235952616
10,100000,-0.07594866305589676,3.21999510388693e-10,-0.0005622650496661663,0.005694547668099403
11,110000,-0.0010408380767330527,0.13786469399929047,0.0008401325903832912,0.009410973638296127
12,120000,-0.0031109428964555264,0.048634082078933716,0.00023624071036465466,0.0030145319178700447
13,130000,-0.0013115114998072386,0.026484614238142967,0.00013707971083931625,0.0016738537233322859
14,140000,-0.08885239064693451,0.0008904808200895786,-0.000383495818823576,0.005511336028575897
15,150000,-0.005657080560922623,0.06703362613916397,0.00021205491793807596,0.0038586058653891087
16,160000,-0.09159776568412781,1.071747313119431e-08,-0.00039832107722759247,0.005663037300109863
17,170000,-0.052430883049964905,1.041719835392918e-10,-0.0002178779395762831,0.003241110360249877
18,180000,-0.052879612892866135,0.0032186354510486126,-0.0001952195743797347,0.003118399763479829
19,190000,-0.0007926719263195992,0.05801806226372719,0.00026816691388376057,0.003585775848478079
20,200000,-0.0071448893286287785,0.0068621523678302765,3.7447230170073453e-06,0.0006309858290478587
21,210000,-0.06316735595464706,1.0211687398453684e-11,-0.00024745427072048187,0.00375969591550529
22,220000,-0.0029214273672550917,0.013948086649179459,5.268191671348177e-05,0.00091655517462641
23,230000,-0.001989599782973528,0.06495241075754166,0.00024387237499468029,0.003978032153099775
24,240000,-0.012245772406458855,0.008809092454612255,3.329426908749156e-05,0.0009438869310542941
25,250000,-0.020559554919600487,0.008311396464705467,-1.1620682926150039e-05,0.0012491584056988358
26,260000,-0.00901221763342619,0.12157414853572845,0.0004617242084350437,0.006835766136646271
27,270000,-0.016196856275200844,0.04892602562904358,0.00017079824465326965,0.0031086003873497248
28,280000,-0.0007614491041749716,0.01433526910841465,0.00010045575618278235,0.0009843296138569713
29,290000,-0.038479503244161606,0.0008310941630043089,-0.00013807325740344822,0.002076005097478628
30,300000,-0.006145094055682421,0.018566196784377098,1.4317392924567685e-05,0.0009243817767128348
31,310000,-0.002525134477764368,0.03485114127397537,0.00014880180242471397,0.0018911197548732162
