epoch,step,min,max,mean,std
1,10000,-0.0008926733280532062,0.0008619723375886679,1.8541370081948116e-05,0.00024206498346757144
2,20000,-0.0006484378827735782,0.0014676861464977264,0.00011480756802484393,0.00034401804441586137
3,30000,-0.0012049978831782937,0.0010959637584164739,-2.968218905152753e-05,0.00036538735730573535
4,40000,-0.0022042610216885805,0.00117620755918324,-0.00017911790928337723,0.0005403649993240833
5,50000,-0.0019073979929089546,0.0015397194074466825,-3.7624791730195284e-05,0.0004458184994291514
6,60000,-0.002601932967081666,0.0019061696948483586,-8.541410352336243e-05,0.0005814898177050054
7,70000,-0.0013208972522988915,0.00145873730070889,0.00010057313920697197,0.00047163598355837166
