epoch,step,min,max,mean,std
1,10000,-0.002459792885929346,0.00233995052985847,1.0506521903153043e-05,0.0003410985227674246
2,20000,-0.0009305371786467731,0.0013620845274999738,1.0087323971674778e-05,0.00021943195315543562
3,30000,-0.002905038418248296,0.002554970094934106,5.167684776097303e-06,0.0004371611285023391
4,40000,-0.0044732410460710526,0.003402510890737176,-9.945482452167198e-05,0.0006115897558629513
5,50000,-0.004077236168086529,0.0032700260635465384,-3.8442205550381914e-05,0.00045444854185916483
6,60000,-0.005190628115087748,0.002861391520127654,-3.8133104681037366e-05,0.0005845188279636204
7,70000,-0.0023345318622887135,0.0035646434407681227,2.1544299670495093e-05,0.0004768593644257635
