epoch,step,min,max,mean,std
1,10000,-0.019099479541182518,0.002237828215584159,-0.0011153740342706442,0.0026926116552203894
2,20000,-0.002658507786691189,0.01250554621219635,0.0003923584008589387,0.0017344884108752012
3,30000,-0.06877460330724716,0.004238883964717388,-0.0013417049776762724,0.0073392982594668865
4,40000,-0.003973694052547216,0.048745110630989075,0.0006635060417465866,0.004661137703806162
5,50000,-0.06364312767982483,0.009159652516245842,-0.0006639509811066091,0.005664910655468702
6,60000,-0.004520009271800518,0.03171210736036301,0.0002459466631989926,0.0023807843681424856
7,70000,-0.01379343494772911,0.0635475218296051,0.0003952657280024141,0.00474311038851738
8,80000,-0.05481521785259247,0.0036307661794126034,-0.0003434778773225844,0.0037959120236337185
9,90000,-0.005490430630743504,0.08844609558582306,0.0004930032882839441,0.005845081526786089
10,100000,-0.003819666337221861,0.0288267619907856,0.00013979105278849602,0.0016669727629050612
11,110000,-0.013627439737319946,0.0048205554485321045,-7.094471948221326e-05,0.0009073308319784701
12,120000,-0.004316937178373337,0.018335513770580292,4.5255310396896675e-05,0.0010622277623042464
13,130000,-0.012773596681654453,0.002478750655427575,-7.587677100673318e-05,0.0008164308965206146
14,140000,-0.002501349663361907,0.029919900000095367,0.00016827469517011195,0.0020189115311950445
15,150000,-0.0813203752040863,0.003642486408352852,-0.00032321043545380235,0.004869552329182625
16,160000,-0.06025293096899986,0.0008584960014559329,-0.00023602925648447126,0.0035727713257074356
17,170000,-0.004840991459786892,0.12286078184843063,0.00047541747335344553,0.0074056959711015224
18,180000,-0.0018480409635230899,0.07816459238529205,0.00031474788556806743,0.00458034360781312
19,190000,-0.1024797186255455,2.0978507559582527e-12,-0.00041809710091911256,0.006073251366615295
20,200000,-0.0927000343799591,0.002963804407045245,-0.0003302177065052092,0.005256806965917349
21,210000,-0.05023205280303955,2.386788683361729e-13,-0.00019000362954102457,0.0027096348349004984
22,220000,-0.07314860075712204,1.1721860981861454e-10,-0.00026899241493083537,0.004014890640974045
23,230000,-0.08353288471698761,0.005091899074614048,-0.00034453393891453743,0.004595538601279259
24,240000,-0.04484715312719345,0.005057036876678467,-0.00021961821767035872,0.0028306450694799423
25,250000,-0.0011323160724714398,0.016781697049736977,9.580939513398334e-05,0.0010578962974250317
26,260000,-0.014581596478819847,0.013413095846772194,8.731013622309547e-06,0.0009497090941295028
27,270000,-0.00474917609244585,0.027550242841243744,6.80353696225211e-05,0.0014234305126592517
28,280000,-0.025545796379446983,0.0021547775249928236,-6.539686728501692e-05,0.0011634054826572537
29,290000,-0.004899066872894764,0.02830640599131584,4.3959778849966824e-05,0.0012730106245726347
30,300000,-0.0738924890756607,1.330829113577181e-09,-0.000194837964954786,0.0032941754907369614
31,310000,-0.041024476289749146,0.0025622539687901735,-0.00010454401490278542,0.0018769422313198447
